,address,city,soldDate,soldPrice,sqft,zipCode,borough
10650,1066 Jefferson Ave,Brooklyn,18-Oct-18,,2700,11221,Brooklyn
10651,144 Saint James Pl,Brooklyn,18-Oct-18,,4200,11238,Brooklyn
10652,501 Surf Ave #23M541,Brooklyn,18-Oct-18,600000.0,976,11224,Brooklyn
10653,1720 53rd St,Brooklyn,18-Oct-18,1790500.0,2546,11204,Brooklyn
10654,319 E 32nd St,Brooklyn,18-Oct-18,,1484,11226,Brooklyn
10655,334 E 8th St,Brooklyn,18-Oct-18,999999.0,1660,11218,Brooklyn
10656,779 Troy Ave,Brooklyn,18-Oct-18,1250000.0,2760,11203,Brooklyn
10657,2246 Schenectady Ave,Brooklyn,18-Oct-18,625000.0,1240,11234,Brooklyn
10658,1498 E 18th St,Brooklyn,18-Oct-18,1300000.0,2032,11230,Brooklyn
10659,8317 12th Ave,Brooklyn,18-Oct-18,,2257,11228,Brooklyn
10660,853 68th St,Brooklyn,18-Oct-18,1540000.0,2200,11220,Brooklyn
10661,547 E 81st St,Brooklyn,18-Oct-18,,2304,11236,Brooklyn
10662,287 Webster Ave,Brooklyn,18-Oct-18,,15400,11230,Brooklyn
10663,227 Maujer St #3A,Brooklyn,18-Oct-18,991000.0,960,11206,Brooklyn
10664,625 74th St,Brooklyn,18-Oct-18,1175000.0,1652,11209,Brooklyn
10665,85 President St #4AG,Brooklyn,18-Oct-18,850000.0,754,11231,Brooklyn
10666,390 9th St,Brooklyn,18-Oct-18,3015000.0,3824,11215,Brooklyn
10667,8647 19th Ave,Brooklyn,18-Oct-18,937206.0,2034,11214,Brooklyn
10668,442 Fenimore St,Brooklyn,18-Oct-18,999999.0,2160,11225,Brooklyn
10669,1451 54th St #2,Brooklyn,17-Oct-18,1100000.0,1829,11219,Brooklyn
10670,5502 15th Ave,Brooklyn,17-Oct-18,50000.0,5684,11219,Brooklyn
10671,215 Degraw St #3B,Brooklyn,17-Oct-18,1400000.0,950,11231,Brooklyn
10672,457 Sheffield Ave,Brooklyn,17-Oct-18,418000.0,1296,11207,Brooklyn
10673,1941 72nd St #1A,Brooklyn,17-Oct-18,730000.0,1075,11204,Brooklyn
10674,596 E 7th St,Brooklyn,17-Oct-18,1290000.0,2477,11218,Brooklyn
10675,469 79th St,Brooklyn,17-Oct-18,1530000.0,2878,11209,Brooklyn
10676,49 Throop Ave #5A,Brooklyn,17-Oct-18,830000.0,1093,11206,Brooklyn
10677,363 63rd St,Brooklyn,19-Oct-18,,5229,11220,Brooklyn
10678,623 Halsey St,Brooklyn,19-Oct-18,,9960,11233,Brooklyn
10679,1331 Decatur St,Brooklyn,19-Oct-18,,2136,11237,Brooklyn
10680,360 Furman St #503,Brooklyn,19-Oct-18,894000.0,828,11201,Brooklyn
10681,371 Irving Ave,Brooklyn,19-Oct-18,,8640,11237,Brooklyn
10682,1638 8th Ave #2B,Brooklyn,19-Oct-18,880000.0,821,11215,Brooklyn
10683,139 Skillman Ave #3D,Brooklyn,19-Oct-18,699000.0,600,11211,Brooklyn
10684,1680 Ocean Ave,Brooklyn,19-Oct-18,215000.0,68400,11230,Brooklyn
10685,754 Putnam Ave,Brooklyn,19-Oct-18,2465000.0,3620,11221,Brooklyn
10686,8705 23rd Ave,Brooklyn,19-Oct-18,980000.0,1776,11214,Brooklyn
10687,461 Avenue X,Brooklyn,19-Oct-18,1000000.0,2880,11223,Brooklyn
10688,617 E 52nd St,Brooklyn,18-Oct-18,510000.0,1176,11203,Brooklyn
10689,815 Prospect Pl,Brooklyn,18-Oct-18,1155448.0,3780,11216,Brooklyn
10690,1137 Blake Ave,Brooklyn,18-Oct-18,800000.0,1880,11208,Brooklyn
10691,548 52nd St,Brooklyn,18-Oct-18,,13260,11220,Brooklyn
10692,664 Pennsylvania Ave,Brooklyn,18-Oct-18,835000.0,1862,11207,Brooklyn
10693,224 Atkins Ave,Brooklyn,18-Oct-18,400000.0,1132,11208,Brooklyn
10694,553 Williams Ave,Brooklyn,18-Oct-18,863260.0,3250,11207,Brooklyn
10695,472 Quincy St,Brooklyn,18-Oct-18,1900000.0,3344,11221,Brooklyn
10696,1160 E 83rd St,Brooklyn,18-Oct-18,,2416,11236,Brooklyn
10697,70 Oceana Dr W #3A,Brooklyn,18-Oct-18,815000.0,1243,11235,Brooklyn
